rsi,adx,trend,result
80.8349098167792,37.58630262743749,1,1
29.402465242353298,29.168576109965,1,0
29.28315434485758,29.807232060485063,1,0
29.143894154701183,30.73222402872419,1,0
28.774803091479647,31.677455589918335,1,0
8.351515223601998,35.42818600716629,0,1
11.129233925895988,38.91100709672197,0,0
22.410680654034916,41.992041051815,0,0
19.86168189678346,44.85300114434968,0,0
19.49826781865076,47.54329306868707,0,0
19.17437476657523,50.09831536640868,0,0
18.70049083344931,52.49627407206344,0,0
16.017175599180685,54.896073707544076,0,0
15.394683203029373,57.31825692776555,0,0
20.280444718808592,59.26630958459269,0,0
19.369654878889477,60.74547689766861,0,0
19.339489687769877,62.158781101469074,0,0
17.76039752966109,63.59400443482933,0,1
19.49675965852047,64.92671181389227,0,1
22.998259674310408,65.58484605606567,0,0
22.237069930907253,66.05452086338764,0,0
22.071439317820232,66.5535364994718,0,1
21.98329830429055,67.10678906298362,0,1
22.977239684488612,67.07422633502502,0,1
20.79028283052869,67.227074301123,0,1
27.86297610701734,67.36900455523548,0,1
29.254309886335008,67.02522887814878,0,1
28.723966635194415,65.84835047095574,0,1
29.92113830775604,64.7555348078818,0,1
29.807027059380943,39.63419949504665,0,0
29.192618123180697,40.92541417496552,0,0
28.872094391446947,42.27993422854035,0,0
23.20301454207949,43.732079550848965,0,0
21.24653742770226,45.42099972144448,0,0
23.309775608971435,46.98928273690439,0,0
24.376754862567314,48.445545536894066,0,0
21.914326856714506,50.09796236363962,0,0
23.847205859456157,51.6323494169733,0,0
20.62646153590745,53.22151689649462,0,0
22.54994030687861,54.86457556793649,0,0
20.627554252157612,56.297420793183946,0,0
18.16000329802379,57.894436826687944,0,0
17.258658319084237,59.46132688182483,0,0
22.50550732115526,60.94250663266722,0,0
19.615017295457793,62.37122392614769,0,1
22.49122343131537,63.73550905720596,0,1
23.562349405559527,64.839040339085,0,0
22.881290215526707,65.69249005928611,0,1
22.70465660461341,66.48497908517048,0,1
24.585877643612424,66.71899113543219,0,1
26.197919123045715,66.9362880392427,0,1
24.400496400249768,67.33076172329969,0,1
27.737581271745302,67.6970587156326,0,1
29.652207684786408,26.801749643678978,0,1
21.892134416139246,15.357032898849614,0,0
27.01532848843745,21.08565168368195,0,0
29.998027664155234,23.728318363460524,0,0
25.81921401012621,26.537102314607086,0,0
24.93333287988537,29.42783636318797,0,1
24.696716987611648,32.11208940829879,0,0
24.48228463937849,34.60461009304455,0,0
25.412291050246708,33.33916672769062,0,0
25.328287020814074,32.16411217414768,0,0
29.705914489726226,31.341139397872297,0,0
27.338829493997522,30.52214666871443,0,0
25.772240028360585,29.316871284164883,0,1
26.571842526808673,28.130139364440925,0,1
27.27493590799035,27.055993524445825,0,1
26.56274300341059,26.269813087023483,0,1
26.879181256726,25.457763102897257,0,1
72.89114546262581,38.840418142822024,1,0
73.02677134953609,40.92894456951652,1,0
74.07414123886136,42.868290281168726,1,0
71.87009077027938,44.80404419715081,1,0
76.2320375811911,46.74149597683418,1,1
76.4195407641168,48.576660623565694,1,1
72.87672606557558,51.15102600532957,1,1
73.7021867101982,32.57893344066456,1,1
70.4930026192209,34.842393281197836,1,1
77.58705611001248,37.472911692957595,1,1
71.31802088758232,39.91553588549975,1,1
70.37531307951721,36.87106685985877,1,1
26.0994956532405,25.099248639083843,1,0
28.311774658704238,23.46314652372514,1,0
24.774675174496316,22.851698323134695,1,0
21.148993295098613,22.76937800304519,0,0
19.73184912930566,22.692937705824107,0,0
19.1186617707871,23.04238313587604,0,1
21.73782172254943,23.036156006285196,0,1
20.034810101309255,23.227366121910638,0,1
28.12057495860112,22.809539614690483,0,1
25.26367202656286,22.42155785800317,0,1
28.813884042789937,14.724950839436568,0,1
26.403265865223027,16.636235170857482,0,1
70.20501891332874,27.66616470692963,1,1
71.72666774044733,21.18955922663777,1,0
74.09163469685986,23.45833187613556,1,0
76.2326725472508,25.899587626211254,1,0
77.93040166089106,28.49164430616219,1,0
80.74729989983437,31.34524247970535,1,0
82.52976528302905,34.048322747586624,1,0
84.17348397637032,36.817259390776634,1,1
79.34949915386568,39.62616840610853,1,0
74.25719551034078,41.095211934298405,1,0
76.8203512322767,42.6016893964272,1,1
77.06627190783826,44.04002802382817,1,1
77.16410697135981,45.43518468062865,1,1
73.34513455445303,46.574440830020635,1,1
75.06504304474022,47.577247524263264,1,1
70.39573841297765,48.565156946070324,1,1
