ticker,timestamp,open,high,low,close,volume,ema_9,ema_21,ema_50,ema_200,rsi,adx,atr,supertrend,vwap,fvg_bullish,fvg_bearish,liquidity_sweep,volume_spike,market_regime,volatility_regime,signal_type,outcome,target_hit,stop_hit,holding_period
RELIANCE,2025-01-02,1216.3918076943417,1239.4994683243335,1215.1467802555553,1236.860107421875,15486276,1223.4130852676271,1240.3193952011238,1280.9795526357177,1374.7060911024037,43.527591309369136,65.63096286527681,20.172990128670286,1265.874179159267,1413.0929665001224,1,0,0,0,-1,1,SELL,LOSS,0,1,0
RELIANCE,2025-01-07,1217.1388288273843,1239.5493228115217,1216.3918123612464,1235.913818359375,10070505,1227.1851695789003,1238.1136671289248,1275.395660401715,1369.9100414792895,48.83414332170581,62.183807838003304,21.91602947155684,1265.874179159267,1410.5823387694272,0,0,0,0,-1,1,SELL,WIN,1,0,8
RELIANCE,2025-01-10,1248.8621307808614,1251.750618829338,1231.0831628192257,1236.959716796875,8120332,1237.011742371272,1240.6504995025336,1272.3814213892695,1365.8701898396992,59.98905543595624,52.146747322676894,21.2828534290442,1265.874179159267,1408.3835364462216,0,0,0,0,-1,1,SELL,WIN,1,0,5
RELIANCE,2025-01-13,1225.1070543419412,1240.2963897717905,1221.5213994754447,1234.9178466796875,13764861,1236.5929632329553,1240.1293492453683,1270.9120121579895,1364.3992342876502,55.215421070305496,46.581665652755206,21.06586819315664,1265.874179159267,1407.555280669373,0,1,0,0,-1,1,SELL,WIN,1,0,4
RELIANCE,2025-01-14,1239.1509590647415,1248.3641626627486,1222.3680125031533,1233.822265625,13095266,1236.0388237113643,1239.55597800661,1269.457275030097,1362.9343739174376,54.736537343800684,41.688339947831096,22.029870035848848,1265.874179159267,1406.7861210199806,0,0,0,0,-1,1,SELL,WIN,1,0,3
RELIANCE,2025-01-22,1273.2149526536994,1277.7966294698952,1263.6530443254642,1272.0196533203125,10273590,1265.7409906608048,1255.1955236579342,1270.6228037687051,1357.175544638022,58.07410322782479,25.21524403574048,27.881504110740448,1224.8281788048314,1402.9969123826818,0,1,0,0,-1,1,BUY,LOSS,0,1,2
RELIANCE,2025-03-06,1192.2383549047067,1209.1208794668382,1180.4355183146993,1204.7882080078125,14468014,1192.0199514243038,1209.352757508803,1233.1498362741256,1318.769345058368,47.709661259954046,47.98690586779306,22.093889390418944,1223.2842712735765,1385.6200171578655,1,0,0,0,-1,1,SELL,LOSS,0,1,0
RELIANCE,2025-03-12,1252.995610693361,1257.9757204337955,1239.0513034201438,1252.0494384765625,11977555,1222.7904308924574,1220.1956173560015,1234.6551527095264,1315.566345804795,57.37052546644279,44.34563160805011,24.65508905889411,1166.5807945978288,1383.4555793659504,0,0,0,0,-1,1,BUY,WIN,1,0,8
RELIANCE,2025-03-13,1255.0376050433522,1259.1212710412995,1238.901975238559,1242.9359130859375,9505270,1226.8195273311535,1222.2629169678496,1234.9798982796783,1314.7856728116674,53.64483650160932,43.394862704195084,24.864970407981705,1166.5807945978288,1383.0758698640577,0,0,1,0,-1,1,BUY,WIN,1,0,6
RELIANCE,2025-03-17,1237.208673957254,1252.3980085038181,1228.1946267891797,1233.9217529296875,16640917,1228.2399724508605,1223.3228111462151,1234.9384011719458,1313.917194959867,52.56469385536895,42.096144756359635,25.323857115343213,1166.5807945978288,1382.3734434014636,0,0,0,0,-1,1,BUY,WIN,1,0,5
